country_id,year_id,indicator_id,sex_id,Value
69,2011-01-01,1,1,111.7
69,2012-01-01,1,1,109.52
69,2013-01-01,1,1,108.19
69,2014-01-01,1,1,105.52
69,2015-01-01,1,1,102.21
69,2016-01-01,1,1,98.08
69,2017-01-01,1,1,94.64
69,2018-01-01,1,1,93.02
69,2019-01-01,1,1,91.38
69,2020-01-01,1,1,88.92
69,2021-01-01,1,1,87.54
70,2011-01-01,1,1,78.03
70,2012-01-01,1,1,75.3
70,2013-01-01,1,1,74.27
70,2014-01-01,1,1,73.89
70,2015-01-01,1,1,73.4
70,2016-01-01,1,1,71.98
70,2017-01-01,1,1,70.48
70,2018-01-01,1,1,69.66
70,2019-01-01,1,1,69.0
70,2020-01-01,1,1,67.8
70,2021-01-01,1,1,66.56
71,2011-01-01,1,1,60.96
71,2012-01-01,1,1,61.26
71,2013-01-01,1,1,59.3
71,2014-01-01,1,1,57.57
71,2015-01-01,1,1,56.28
71,2016-01-01,1,1,55.9
71,2017-01-01,1,1,55.63
71,2018-01-01,1,1,54.56
71,2019-01-01,1,1,54.24
71,2020-01-01,1,1,53.64
71,2021-01-01,1,1,52.54
72,2011-01-01,1,1,86.96
72,2012-01-01,1,1,84.45
72,2013-01-01,1,1,81.68
72,2014-01-01,1,1,79.56
72,2015-01-01,1,1,77.99
72,2016-01-01,1,1,76.87
72,2017-01-01,1,1,75.34
72,2018-01-01,1,1,74.67
72,2019-01-01,1,1,73.8
72,2020-01-01,1,1,72.87
72,2021-01-01,1,1,71.97
73,2011-01-01,1,1,3.26
73,2012-01-01,1,1,3.12
73,2013-01-01,1,1,3.61
73,2014-01-01,1,1,3.48
73,2015-01-01,1,1,3.64
73,2016-01-01,1,1,3.55
73,2017-01-01,1,1,3.2
73,2018-01-01,1,1,2.59
73,2019-01-01,1,1,2.4
73,2020-01-01,1,1,1.84
73,2021-01-01,1,1,1.58
74,2011-01-01,1,1,18.44
74,2012-01-01,1,1,20.21
74,2013-01-01,1,1,22.22
74,2014-01-01,1,1,24.28
74,2015-01-01,1,1,23.97
74,2016-01-01,1,1,25.51
74,2017-01-01,1,1,23.91
74,2018-01-01,1,1,22.76
74,2019-01-01,1,1,21.99
74,2020-01-01,1,1,22.29
74,2021-01-01,1,1,22.15
75,2011-01-01,1,1,11.26
75,2012-01-01,1,1,10.79
75,2013-01-01,1,1,8.67
